fGM	fWM	fCSF
0.610861923921943	0.227803792495301	0.161334283582756
0.607643006688918	0.229066009804483	0.163290983506599
0.60622332714552	0.224884351767178	0.168892321087303
0.609722474287078	0.23584081069292	0.154436715020002
0.607280212252926	0.243398238384129	0.149321549362945
0.591292214606455	0.252115088595288	0.156592696798257
0.606121088339634	0.236461592733382	0.157417318926984
0.598492953017172	0.23580546743706	0.165701579545768
0.596380729709382	0.232227448796714	0.171391821493904
0.593335208390407	0.238991743599031	0.167673048010562
0.592995615897345	0.233168070586838	0.173836313515816
0.597921017607537	0.232618368307845	0.169460614084618
0.600992654687187	0.236843309755402	0.162164035557412
0.597411703266274	0.22570498054517	0.176883316188556
0.614784220686214	0.227777787578807	0.157437991734979
0.59859819569531	0.233358965660555	0.168042838644134
0.596083824121589	0.249056727054569	0.154859448823841
0.607809740220069	0.22999498143016	0.162195278349771
0.598467600095017	0.240315463818915	0.161216936086068
0.606312181326468	0.243865660395502	0.14982215827803
0.607740296779349	0.242390929192535	0.149868774028115
0.603956242011741	0.226772983227947	0.169270774760312
0.609990506097761	0.222677904187137	0.167331589715102
0.588983785131192	0.255734916328942	0.155281298539866
0.601974085390264	0.233122142049927	0.164903772559809
0.598279310111154	0.228484732296496	0.173235957592349
0.598286150740271	0.233139747775326	0.168574101484403
0.593551325790597	0.236621219280801	0.169827454928602
0.598007527364604	0.237030488046308	0.164961984589088
0.582252643143487	0.271776651830169	0.145970705026344
0.599340939730109	0.235248797772804	0.165410262497087
0.586262212463197	0.241814333538138	0.171923453998665
0.595996149844787	0.227896669713729	0.176107180441484
0.5966663261782	0.251373564389306	0.151960109432494
0.618232835615222	0.222739704914877	0.159027459469901
0.592066467228721	0.253259098906288	0.154674433864991
0.613804413078668	0.222528651378754	0.163666935542578
0.608219096403228	0.236801318150863	0.15497958544591
0.611042607564764	0.27261829794192	0.116339094493316
0.616341665941151	0.279364320704503	0.104294013354346
0.612522889333639	0.272145500392073	0.115331610274288
0.60719649417217	0.290583918448354	0.102219587379476
0.598558319488883	0.294846453855709	0.106595226655408
0.602674928560225	0.286656558276569	0.110668513163206
0.61005629350037	0.285866433150205	0.104077273349426
0.608717055498262	0.273956648966359	0.117326295535379
0.606947786651687	0.281935040554506	0.111117172793807
0.599530243903651	0.291382707873898	0.109087048222452
0.591228759195137	0.305575655436095	0.103195585368768
0.589795863515343	0.299364007929222	0.110840128555435
0.613168242318432	0.268243438523311	0.118588319158258
0.5903318721489	0.296673384670843	0.112994743180257
0.572818766692444	0.29790804135045	0.129273191957106
0.603763467061683	0.290543248920352	0.105693284017965
0.607853512820462	0.273393572741461	0.118752914438076
0.609350861610556	0.277128392713739	0.113520745675705
0.604545899669986	0.283272910693245	0.112181189636769
0.620090545088543	0.255028976802495	0.124880478108962
0.58543591774736	0.293034798945513	0.121529283307127
0.605062946485056	0.283379621516071	0.111557431998872
0.61079404317768	0.276763826724129	0.112442130098191
0.619472476459459	0.263382383197279	0.117145140343262
0.599789313894165	0.280347055018976	0.119863631086859
0.605099073764176	0.287472084105531	0.107428842130292
0.609982270178046	0.276352345428734	0.11366538439322
0.619227453746767	0.269013898002836	0.111758648250396
0.598584891127347	0.285986603295239	0.115428505577414
0.619122492904539	0.269345279384904	0.111532227710557
0.582723402160061	0.302206185960803	0.115070411879136
0.610622852711323	0.282371529730522	0.107005617558155
0.607346847824401	0.286295073425912	0.106358078749687
0.614199129744684	0.273114258196652	0.112686612058664
0.619493733375941	0.267841954159957	0.112664312464102
0.612255886658039	0.275778380521871	0.111965732820089
0.61171424240222	0.276893812690336	0.111391944907445
0.611449007625526	0.283428714807597	0.105122277566877
0.627370539993609	0.264908604817137	0.107720855189254
0.588037804932661	0.270848290524582	0.141113904542756
0.611625853536643	0.260679692126383	0.127694454336973
0.580061091775668	0.266375301427173	0.153563606797159
0.59091644302252	0.266676394275109	0.142407162702371
0.593968044359681	0.261644633715417	0.144387321924902
0.578785275039586	0.26176696928762	0.159447755672794
0.631994363521086	0.238995887359068	0.129009749119846
0.595784973034699	0.244606444768179	0.159608582197122
0.587661793479169	0.260922222514534	0.151415984006297
0.593466489978795	0.272645094178126	0.133888415843079
0.58791857939186	0.262236974585322	0.149844446022818
0.594176163038716	0.247280574506089	0.158543262455195
0.588058399059579	0.271328797867406	0.140612803073015
0.601691909156919	0.248227583265572	0.15008050757751
0.588837485063965	0.251325782155523	0.159836732780511
0.58170561703237	0.270491346763703	0.147803036203926
0.591213822505189	0.262226844458165	0.146559333036645
0.581979983727526	0.282677443985586	0.135342572286887
0.573447083837005	0.266361475468251	0.160191440694744
0.577253922171864	0.26827231653952	0.154473761288615
0.595051249484354	0.263900799707123	0.141047950808523
0.614414142363254	0.252207188008547	0.1333786696282
0.611731415522833	0.255200494688222	0.133068089788945
0.601468606548978	0.245969609846884	0.152561783604138
0.577893993702088	0.268569598465168	0.153536407832744
